rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
702,5.25,2009000279,2009,702,27,06,01,02,50,1,4,4,4,4,04
405,24.32,2009000280,2009,405,17,11,01,02,06,1,4,1,1,4,02
012,293.7,2009000281,2009,012,36,12,01,09,13,1,1,1,1,1,01
027,88.55,2009000282,2009,027,32,14,01,02,03,1,3,1,4,6,02
005,1.82,2009000283,2009,005,06,11,01,12,05,1,4,1,2,2,03
204,0.75,2009000284,2009,204,31,12,01,01,03,7,1,2,2,1,01
028,32.44,2009000286,2009,028,13,14,01,22,12,1,3,1,1,6,02
012,173.67,2009000288,2009,012,39,02,01,01,34,1,4,1,3,6,04
005,1.73,2009000289,2009,005,06,11,01,02,06,6,4,1,2,1,01
410,43.12,2009000290,2009,410,27,06,01,01,34,1,4,2,4,1,04
005,264.44,2009000291,2009,005,37,11,01,01,33,1,4,1,3,6,04
104,27.78,2009000292,2009,104,31,14,01,21,13,6,1,1,4,9,05
003,33.39,2009000293,2009,003,18,02,01,01,03,6,4,6,3,1,04
410,21.6,2009000294,2009,410,17,06,01,01,50,1,4,1,2,1,03
005,45.02,2009000295,2009,005,08,01,01,01,60,1,4,1,7,6,03
004,60.16,2009000296,2009,004,08,14,01,27,02,1,1,1,3,1,04
002,49.48,2009000297,2009,002,17,02,01,28,34,1,4,6,2,6,01
005,266.06,2009000298,2009,005,37,11,02,03,99,1,4,1,1,1,01
090,218.46,2009000299,2009,090,01,01,01,01,50,1,4,2,4,1,04
090,242.13,2009000300,2009,090,22,01,01,01,02,1,4,1,3,1,01
026,79.32,2009000301,2009,026,01,02,01,02,54,1,4,1,1,6,01
005,19.76,2009000302,2009,005,06,01,01,02,33,1,4,1,3,6,04
014,63.71,2009000303,2009,014,20,02,01,01,34,1,4,1,3,2,04
014,61.13,2009000304,2009,014,30,02,01,01,16,1,4,1,2,3,03
019,2.2,2009000305,2009,019,16,06,01,02,60,6,4,5,4,6,04
003,44.93,2009000306,2009,003,18,12,01,01,33,1,4,1,3,6,04
003,30.43,2009000307,2009,003,18,02,01,01,33,1,4,1,3,1,04
525,13.62,2009000308,2009,525,15,02,01,01,33,1,4,5,2,6,02
516,8.09,2009000309,2009,516,17,14,01,01,06,6,1,1,2,1,03
002,297.52,2009000310,2009,002,32,02,01,01,32,1,4,1,3,6,01
167LX02240,0.17,2009000311,2009,167,17,12,01,31,06,7,1,2,1,1,01
082,39.27,2009000312,2009,082,39,11,01,01,03,1,4,6,3,1,03
410,94.07,2009000313,2009,410,39,07,01,01,12,6,4,5,3,6,04
101,87.24,2009000314,2009,101,14,14,01,01,06,1,1,5,2,4,03
017,15.31,2009000315,2009,017,01,02,01,02,50,1,4,1,4,1,02
017,17.27,2009000316,2009,017,01,02,01,02,50,6,4,5,3,1,01
510,0.49,2009000317,2009,510,34,14,01,01,06,1,1,1,2,1,02
410,96.86,2009000318,2009,410,39,07,01,01,34,1,4,1,3,6,04
410,47.39,2009000319,2009,410,27,06,01,01,34,1,4,1,4,6,04
